Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01666352	0.01286771	-0.7975628	-0.001837489	0.1138907	0.0002630129	-0.01630199	0	0
0.03317742	0.01286771	-0.7975628	0	0	-0.0002630109	0.01630186	0	0
0.04969961	0.01286771	-0.7975628	0	0	0	0	0	0
0.06671248	0.01286771	-0.7975628	0	0	0	0	0	0
0.08283202	0.01286771	-0.7975628	0	0	0	0	0	0
0.09939961	0.01286771	-0.7975628	0	0	0	0	0	0
0.1224491	0.01286771	-0.7975628	0	0	0	0	0	0
0.1390191	0.01286771	-0.7975628	0	0	0	0	0	0
0.1555863	0.01286771	-0.7975628	0	0	0	0	0	0
0.1721523	0.01286771	-0.7975628	0	0	0	0	0	0
0.1887965	0.01286771	-0.7975628	0	0	0	0	0	0
0.2052859	0.01286771	-0.7975628	0	0	0	0	0	0
0.2218614	0.01286771	-0.7975628	0	0	0	0	0	0
0.2384199	0.01286771	-0.7975628	0	0	0	0	0	0
0.2549871	0.01286771	-0.7975628	0	0	0	0	0	0
0.2715649	0.01286771	-0.7975628	0	0	0	0	0	0
0.2884637	0.01286771	-0.7975628	0	0	0	0	0	0
0.3048864	0.01286771	-0.7975628	0	0	0	0	0	0
0.3213968	0.01286771	-0.7975628	0	0	0	0	0	0
0.3378218	0.01286771	-0.7975628	0	0	0	0	0	0
0.3543859	0.01286771	-0.7975628	0	0	0	0	0	0
0.3709519	0.01286771	-0.7975628	0	0	0	0	0	0
0.3958161	0.01286771	-0.7975628	0	0	0	0	0	0
0.4049907	0.01286771	-0.7975628	0	0	0	0	0	0
0.4215595	0.01286771	-0.7975628	0	0	0	0	0	0
0.438127	0.01286771	-0.7975628	0	0	0	0	0	0
0.4549923	0.01286771	-0.7975628	0	0	0	0	0	0
0.4714947	0.01286771	-0.7975628	0	0	0	0	0	0
0.4885309	0.01286771	-0.7975628	0	0	0	0	0	0
0.5043942	0.01286771	-0.7975628	0	0	0	0	0	0
0.5209603	0.01286771	-0.7975628	0	0	0	0	0	0
0.5375373	0.01286771	-0.7975628	0	0	0	0	0	0
0.554095	0.01286771	-0.7975628	0	0	0	0	0	0
0.5706595	0.01286771	-0.7975628	0	0	0	0	0	0
0.5872263	0.01286771	-0.7975628	0	0	0	0	0	0
0.6038858	0.01286771	-0.7975628	0	0	0	0	0	0
0.6203598	0.01286771	-0.7975628	0	0	0	0	0	0
0.6371106	0.01286771	-0.7975628	0	0	0	0	0	0
0.6534926	0.01286771	-0.7975628	0	0	0	0	0	0
0.6701289	0.01286771	-0.7975628	0	0	0	0	0	0
0.7077217	0.01286771	-0.7975628	0	0	0	0	0	0
0.7242893	0.01286771	-0.7975628	0	0	0	0	0	0
0.7408608	0.01286771	-0.7975628	0	0	0	0	0	0
0.7581978	0.01286771	-0.7975628	0	0	0	0	0	0
0.7739885	0.01286771	-0.7975628	0	0	0	0	0	0
0.7905557	0.01286771	-0.7975628	0	0	0	0	0	0
0.8071217	0.01286771	-0.7975628	0	0	0	0	0	0
0.8237426	0.01286771	-0.7975628	0	0	0	0	0	0
0.8407546	0.01286771	-0.7975628	0	0	0	0	0	0
0.8568221	0.01286771	-0.7975628	0	0	0	0	0	0
0.8733892	0.01286771	-0.7975628	0	0	0	0	0	0
0.8902947	0.01286771	-0.7975628	0	0	0	0	0	0
0.9068035	0.01286771	-0.7975628	0	0	0	0	0	0
0.9230892	0.01286771	-0.7975628	0	0	0	0	0	0
0.9396564	0.01286771	-0.7975628	0	0	0	0	0	0
0.9563345	0.01286771	-0.7975628	0	0	0	0	0	0
0.9727884	0.01286771	-0.7975628	0	0	0	0	0	0
0.9942304	0.01286771	-0.7975628	0	0	0	0	0	0
1.010877	0.01286771	-0.7975628	0	0	0	0	0	0
1.043934	0.01286771	-0.7975628	0	0	0	0	0	0
1.061412	0.01286771	-0.7975628	0	0	0	0	0	0
1.077422	0.01286771	-0.7975628	0	0	0	0	0	0
1.093633	0.01286771	-0.7975628	0	0	0	0	0	0
1.1102	0.01286771	-0.7975628	0	0	0	0	0	0
1.126958	0.01286771	-0.7975628	0	0	0	0	0	0
1.143333	0.01286771	-0.7975628	0	0	0	0	0	0
1.15998	0.01286771	-0.7975628	0	0	0	0	0	0
1.176467	0.01286771	-0.7975628	0	0	0	0	0	0
1.193033	0.01286771	-0.7975628	0	0	0	0	0	0
1.209601	0.01286771	-0.7975628	0	0	0	0	0	0
1.226169	0.01286771	-0.7975628	0	0	0	0	0	0
1.242734	0.01286771	-0.7975628	0	0	0	0	0	0
1.259552	0.01286771	-0.7975628	0	0	0	0	0	0
1.276063	0.01286771	-0.7975628	0	0	0	0	0	0
1.298617	0.01286771	-0.7975628	0	0	0	0	0	0
1.315187	0.01286771	-0.7975628	0	0	0	0	0	0
1.331755	0.01286771	-0.7975628	0	0	0	0	0	0
1.348322	0.01286771	-0.7975628	0	0	0	0	0	0
1.364887	0.01286771	-0.7975628	0	0	0	0	0	0
1.381458	0.01286771	-0.7975628	0	0	0	0	0	0
1.39802	0.01286771	-0.7975628	0	0	0	0	0	0
1.414661	0.01286771	-0.7975628	0	0	0	0	0	0
1.431161	0.01286771	-0.7975628	0	0	0	0	0	0
1.44772	0.01286771	-0.7975628	0	0	0	0	0	0
1.464287	0.01286771	-0.7975628	0	0	0	0	0	0
1.480854	0.01286771	-0.7975628	0	0	0	0	0	0
1.497421	0.01286771	-0.7975628	0	0	0	0	0	0
1.513992	0.01286771	-0.7975628	0	0	0	0	0	0
1.530558	0.01286771	-0.7975628	0	0	0	0	0	0
1.547292	0.01286771	-0.7975628	0	0	0	0	0	0
1.563765	0.01286771	-0.7975628	0	0	0	0	0	0
1.590073	0.01286771	-0.7975628	0	0	0	0	0	0
1.599495	0.01286771	-0.7975628	0	0	0	0	0	0
1.616318	0.01286771	-0.7975628	0	0	0	0	0	0
1.632818	0.01286771	-0.7975628	0	0	0	0	0	0
1.649328	0.01286771	-0.7975628	0	0	0	0	0	0
1.665843	0.01286771	-0.7975628	0	0	0	0	0	0
1.715465	0.01286771	-0.7975628	0	0	0	0	0	0
1.732395	0.01286771	-0.7975628	0	0	0	0	0	0
1.748598	0.01286771	-0.7975628	0	0	0	0	0	0
1.765169	0.01286771	-0.7975628	0	0	0	0	0	0
1.781734	0.01286771	-0.7975628	0	0	0	0	0	0
1.798442	0.01286771	-0.7975628	0	0	0	0	0	0
1.814864	0.01286771	-0.7975628	0	0	0	0	0	0
1.831457	0.01286771	-0.7975628	0	0	0	0	0	0
1.848492	0.01286771	-0.7975628	0	0	0	0	0	0
1.864564	0.01286771	-0.7975628	0	0	0	0	0	0
1.881131	0.01286771	-0.7975628	0	0	0	0	0	0
1.917907	0.01286771	-0.7975628	0	0	0	0	0	0
1.951039	0.01286771	-0.7975628	0	0	0	0	0	0
1.967606	0.01286771	-0.7975628	0	0	0	0	0	0
1.984173	0.01286771	-0.7975628	0	0	0	0	0	0
2.000739	0.01286771	-0.7975628	0	0	0	0	0	0
2.01761	0.01286771	-0.7975628	0	0	0	0	0	0
2.033873	0.01286771	-0.7975628	0	0	0	0	0	0
2.050439	0.01286771	-0.7975628	0	0	0	0	0	0
2.067141	0.01286771	-0.7975628	0	0	0	0	0	0
2.083573	0.01286771	-0.7975628	0	0	0	0	0	0
2.100163	0.01286771	-0.7975628	0	0	0	0	0	0
2.116714	0.01286771	-0.7975628	0	0	0	0	0	0
2.133273	0.01286771	-0.7975628	0	0	0	0	0	0
2.14984	0.01286771	-0.7975628	0	0	0	0	0	0
2.166406	0.01286771	-0.7975628	0	0	0	0	0	0
2.183225	0.01286771	-0.7975628	0	0	0	0	0	0
2.207791	0.01286771	-0.7975628	0	0	0	0	0	0
2.224362	0.01286771	-0.7975628	0	0	0	0	0	0
2.240928	0.01286771	-0.7975628	0	0	0	0	0	0
2.257495	0.01286771	-0.7975628	0	0	0	0	0	0
2.274612	0.01286771	-0.7975628	0	0	0	0	0	0
2.291178	0.01286771	-0.7975628	0	0	0	0	0	0
2.307813	0.01286771	-0.7975628	0	0	0	0	0	0
2.324323	0.01286771	-0.7975628	0	0	0	0	0	0
2.340879	0.01286771	-0.7975628	0	0	0	0	0	0
2.357445	0.01286771	-0.7975628	0	0	0	0	0	0
2.374012	0.01286771	-0.7975628	0	0	0	0	0	0
2.390873	0.01286771	-0.7975628	0	0	0	0	0	0
2.407145	0.01286771	-0.7975628	0	0	0	0	0	0
2.423896	0.01286771	-0.7975628	0	0	0	0	0	0
2.440279	0.01286771	-0.7975628	0	0	0	0	0	0
2.456921	0.01286771	-0.7975628	0	0	0	0	0	0
2.480519	0.01286771	-0.7975628	0	0	0	0	0	0
2.497445	0.01286771	-0.7975628	0	0	0	0	0	0
2.513657	0.01286771	-0.7975628	0	0	0	0	0	0
2.530973	0.01286771	-0.7975628	0	0	0	0	0	0
2.54679	0.01286771	-0.7975628	0	0	0	0	0	0
2.563502	0.01286771	-0.7975628	0	0	0	0	0	0
