Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01651469	0.009710222	-0.002211525	0.5879748	-0.1339126	35.60314	-8.108696	0	0
0.03301319	0.009710222	-0.002211525	0	0	-17.8103	4.056336	0	0
0.0495796	0.009710222	-0.002211525	0	0	0	0	0	0
0.06653484	0.009710222	-0.002211525	0	0	0	0	0	0
0.08354022	0.009710222	-0.002211525	0	0	0	0	0	0
0.0992796	0.009710222	-0.002211525	0	0	0	0	0	0
0.1158464	0.009736534	-0.002230361	0.001588277	-0.001136945	0.04916323	-0.03519279	0	0
0.1324136	0.009736534	-0.002230361	0	0	-0.04793496	0.03431355	0	0
0.149087	0.009736534	-0.002230361	0	0	0	0	0	0
0.1655985	0.009736534	-0.002230361	0	0	0	0	0	0
0.1821144	0.009736534	-0.002230361	0	0	0	0	0	0
0.1986796	0.009736534	-0.002230361	0	0	0	0	0	0
0.2152472	0.009736534	-0.002230361	0	0	0	0	0	0
0.231814	0.009736534	-0.002230361	0	0	0	0	0	0
0.2539757	0.009736534	-0.002230361	0	0	0	0	0	0
0.2706684	0.009736534	-0.002230361	0	0	0	0	0	0
0.2871121	0.009736534	-0.002230361	0	0	0	0	0	0
0.3036927	0.009736534	-0.002230361	0	0	0	0	0	0
0.3202488	0.009736534	-0.002230361	0	0	0	0	0	0
0.3372234	0.009736534	-0.002230361	0	0	0	0	0	0
0.3533797	0.009762848	-0.002249197	0.001628693	-0.00116585	0.04915942	-0.03518924	0	0
0.3702469	0.009762848	-0.002249197	0	0	-0.04931926	0.03530366	0	0
0.3865117	0.009762848	-0.002249197	0	0	0	0	0	0
0.4033643	0.009762848	-0.002249197	0	0	0	0	0	0
0.4196453	0.009762848	-0.002249197	0	0	0	0	0	0
0.4362839	0.009762848	-0.002249197	0	0	0	0	0	0
0.4527793	0.009762848	-0.002249197	0	0	0	0	0	0
0.469817	0.009789161	-0.002268033	0.001544429	-0.001105545	0.04605684	-0.03296877	0	0
0.4859133	0.009789161	-0.002268033	0	0	-0.04661162	0.0333659	0	0
0.5024789	0.009789161	-0.002268033	0	0	0	0	0	0
0.5190512	0.009789161	-0.002268033	0	0	0	0	0	0
0.5387473	0.009789161	-0.002268033	0	0	0	0	0	0
0.5558801	0.009789161	-0.002268033	0	0	0	0	0	0
0.5718876	0.009789161	-0.002268033	0	0	0	0	0	0
0.58845	0.009789161	-0.002268033	0	0	0	0	0	0
0.6050164	0.009789161	-0.002268033	0	0	0	0	0	0
0.6215844	0.009789161	-0.002268033	0	0	0	0	0	0
0.6381493	0.009789161	-0.002268033	0	0	0	0	0	0
0.6547161	0.009789161	-0.002268033	0	0	0	0	0	0
0.6714542	0.009789161	-0.002268033	0	0	0	0	0	0
0.6879689	0.009789161	-0.002268033	0	0	0	0	0	0
0.7044185	0.009789161	-0.002268033	0	0	0	0	0	0
0.7209912	0.009789161	-0.002268033	0	0	0	0	0	0
0.7375509	0.009789161	-0.002268033	0	0	0	0	0	0
0.754516	0.009789161	-0.002268033	0	0	0	0	0	0
0.7706845	0.009789161	-0.002268033	0	0	0	0	0	0
0.7875355	0.009789161	-0.002268033	0	0	0	0	0	0
0.8040802	0.009789161	-0.002268033	0	0	0	0	0	0
0.8205597	0.009789161	-0.002268033	0	0	0	0	0	0
0.8448385	0.009789161	-0.002268033	0	0	0	0	0	0
0.8614081	0.009789161	-0.002268033	0	0	0	0	0	0
0.8781	0.009789161	-0.002268033	0	0	0	0	0	0
0.894542	0.009789161	-0.002268033	0	0	0	0	0	0
0.9111084	0.009789161	-0.002268033	0	0	0	0	0	0
0.9281383	0.009789161	-0.002268033	0	0	0	0	0	0
0.9442416	0.009789161	-0.002268033	0	0	0	0	0	0
0.9608088	0.009789161	-0.002268033	0	0	0	0	0	0
0.9776712	0.009789161	-0.002268033	0	0	0	0	0	0
0.9939411	0.009789161	-0.002268033	0	0	0	0	0	0
1.010508	0.009789161	-0.002268033	0	0	0	0	0	0
1.027076	0.009789161	-0.002268033	0	0	0	0	0	0
1.043721	0.009789161	-0.002268033	0	0	0	0	0	0
1.060231	0.009789161	-0.002268033	0	0	0	0	0	0
1.076775	0.009789161	-0.002268033	0	0	0	0	0	0
1.093342	0.009789161	-0.002268033	0	0	0	0	0	0
1.130787	0.009815474	-0.002249197	0.0007027002	0.0005030302	0.0130102	0.009313397	0	0
1.147353	0.009815474	-0.002249197	0	0	-0.01301029	-0.009313459	0	0
1.163926	0.009815474	-0.002249197	0	0	0	0	0	0
1.181316	0.009815474	-0.002249197	0	0	0	0	0	0
1.197052	0.009815474	-0.002249197	0	0	0	0	0	0
1.213842	0.009815474	-0.002249197	0	0	0	0	0	0
1.230186	0.009815474	-0.002249197	0	0	0	0	0	0
1.246759	0.009815474	-0.002249197	0	0	0	0	0	0
1.263395	0.009815474	-0.002249197	0	0	0	0	0	0
1.279888	0.009815474	-0.002249197	0	0	0	0	0	0
1.296452	0.009815474	-0.002249197	0	0	0	0	0	0
1.313019	0.009815474	-0.002249197	0	0	0	0	0	0
1.329586	0.009815474	-0.002249197	0	0	0	0	0	0
1.346153	0.009815474	-0.002249197	0	0	0	0	0	0
1.36272	0.009815474	-0.002249197	0	0	0	0	0	0
1.37946	0.009815474	-0.002249197	0	0	0	0	0	0
1.395852	0.009815474	-0.002249197	0	0	0	0	0	0
1.416771	0.009815474	-0.002249197	0	0	0	0	0	0
1.433495	0.009815474	-0.002249197	0	0	0	0	0	0
1.450012	0.009815474	-0.002249197	0	0	0	0	0	0
1.466474	0.009815474	-0.002249197	0	0	0	0	0	0
1.483042	0.009815474	-0.002249197	0	0	0	0	0	0
1.500543	0.009815474	-0.002249197	0	0	0	0	0	0
1.516173	0.009815474	-0.002249197	0	0	0	0	0	0
1.565873	0.009815474	-0.002249197	0	0	0	0	0	0
1.582603	0.009815474	-0.002249197	0	0	0	0	0	0
1.599112	0.009815474	-0.002249197	0	0	0	0	0	0
1.615573	0.009815474	-0.002249197	0	0	0	0	0	0
1.632141	0.009815474	-0.002249197	0	0	0	0	0	0
1.648707	0.009815474	-0.002249197	0	0	0	0	0	0
1.665275	0.009815474	-0.002249197	0	0	0	0	0	0
1.682172	0.009815474	-0.002249197	0	0	0	0	0	0
1.708305	0.009815474	-0.002249197	0	0	0	0	0	0
1.724875	0.009815474	-0.002249197	0	0	0	0	0	0
1.742839	0.009815474	-0.002249197	0	0	0	0	0	0
1.75973	0.009815474	-0.002249197	0	0	0	0	0	0
1.775979	0.009815474	-0.002249197	0	0	0	0	0	0
1.79275	0.009815474	-0.002249197	0	0	0	0	0	0
1.809109	0.009815474	-0.002249197	0	0	0	0	0	0
1.825773	0.009815474	-0.002249197	0	0	0	0	0	0
1.842241	0.009815474	-0.002249197	0	0	0	0	0	0
1.858809	0.009815474	-0.002249197	0	0	0	0	0	0
1.875375	0.009815474	-0.002249197	0	0	0	0	0	0
1.892321	0.009815474	-0.002249197	0	0	0	0	0	0
1.908508	0.009815474	-0.002249197	0	0	0	0	0	0
1.925075	0.009815474	-0.002249197	0	0	0	0	0	0
1.941644	0.009815474	-0.002249197	0	0	0	0	0	0
1.958377	0.009815474	-0.002249197	0	0	0	0	0	0
1.980717	0.009815474	-0.002249197	0	0	0	0	0	0
1.997397	0.009815474	-0.002249197	0	0	0	0	0	0
2.013855	0.009815474	-0.002249197	0	0	0	0	0	0
2.03042	0.009815474	-0.002249197	0	0	0	0	0	0
2.046994	0.009815474	-0.002249197	0	0	0	0	0	0
2.063555	0.009815474	-0.002249197	0	0	0	0	0	0
2.080121	0.009815474	-0.002249197	0	0	0	0	0	0
2.096686	0.009815474	-0.002249197	0	0	0	0	0	0
2.113255	0.009815474	-0.002249197	0	0	0	0	0	0
2.129827	0.009815474	-0.002249197	0	0	0	0	0	0
2.146387	0.009815474	-0.002249197	0	0	0	0	0	0
2.162955	0.009815474	-0.002249197	0	0	0	0	0	0
2.17952	0.009815474	-0.002249197	0	0	0	0	0	0
2.196085	0.009815474	-0.002249197	0	0	0	0	0	0
2.212654	0.009815474	-0.002249197	0	0	0	0	0	0
2.229558	0.009815474	-0.002249197	0	0	0	0	0	0
2.245788	0.009815474	-0.002249197	0	0	0	0	0	0
2.262585	0.009815474	-0.002249197	0	0	0	0	0	0
